BOM combines:,,,,,,,,,,,,,,,,,,
axiom_beta_main_board_v0.37 R1.1,,,,,"Creation process: pcbom.ulp -> csv with all parameters, open csv, copy paste here, manually rearrange coloumns",,,,,,,,,,,,,
axiom_beta_interface_dummy_v0.13_r1.2,,,,,,,,,,,,,,,,,,
axiom_beta_power_board_v0.37 R1.2,,,,,,,,,,,,,,,,,,
axiom_beta_sensor_cmv12000_tht_v0.16_r1.4c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ID,Sub-ID,Qty,Description,Package,Schematic Reference,PCB,Side,Mount,Tele ID,Digi-Key,Farnell,Mouser,Manufacturer,MPN,Source,Packaging,Note,
80,39,2,13k 1%,0402,"R86, R88",PB V0.37 R1.2,,SMT,,,,,,,Tele,,ersetzen um zeile einzusparen?,
81,40,1,3k 1%,0402,R89,PB V0.37 R1.2,,SMT,,,,,,,Tele,,ersetzen um zeile einzusparen?,
82,41,1,15k,0402,R90,PB V0.37 R1.2,,SMT,,,,,,,Tele,,ersetzen um zeile einzusparen?,
83,42,1,1k,0402,R91,PB V0.37 R1.2,,SMT,,,,,,,Tele,,ersetzen um zeile einzusparen?,
84,43,16,4k7 1%,0402,"R92, R93, R95, R96, R97, R98, R100, R101, R102, R103, R105, R106, R107, R108, R120, R121",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
85,44,4,200k 1%,0402,"R94, R99, R104, R119",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
86,45,1,523k 0.1%,0402,R110,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
87,46,1,536k 0.1%,0402,R114,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
88,47,5,100k 0.1%,0402,"R111, R115, R116, R117, R118",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
89,48,4,50k 1%,0402,"R122, R123, R124, R125",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
90,49,1,Traceability Pad 91658,3X2MM,S/N ,PB V0.37 R1.2,,SMT,,,,,Molex,91658,Tele,,Traceability Pad 91658,
91,50,1,MICRO-SD-2CD,TF-MICRO-SD_PP2,SD1,PB V0.37 R1.2,,SMT,,,,,,,apertus,,,
92,51,1,PIC16F15325-JQ,UQFN65P400X400X100-17N,U1,PB V0.37 R1.2,,SMT,,,,,579-PIC16F15325TI/JQ,,apertus,,,
93,52,2,TPS82130SIL-GM,SIL0008D-GM,"U2, U3",PB V0.37 R1.2,,SMT,,,,,595-TPS82130SILR,,apertus,,3-A 17V Step-down Converter Module with Integrated Inductor,
94,53,4,PCA9306GM,PCA9570GMH,"U4, U5, U25, U30",PB V0.37 R1.2,,SMT,,,,, 863-PCA9306AMUTCG ,,apertus,,"Bidirectional low voltage translator,SOIC-8",
95,54,4,MCP23018-E/MJ,QFN50P400X400X80-25N,"U6, U7, U8, U9",PB V0.37 R1.2,,SMT,,,,,,,apertus,,http://ww1.microchip.com/downloads/en/DeviceDoc/22103a.pdf,
96,55,4,AP7312-3333W6-7,SOT23-6,"U10, U11, U12, U13",PB V0.37 R1.2,,SMT,,,,,,,apertus,,Dual Output SOT23-6 Linear Regulators,
97,56,11,PAC1720,DFN3X3_10LEAD,"U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24",PB V0.37 R1.2,,SMT,,,,,,,apertus,,,
98,57,1,SC202A,MLPQ-13,U26,PB V0.37 R1.2,,SMT,,,,,947-SC202AMLTRT,,apertus,,,
99,58,1,TS3A4751,SOP65P640X120-14N,U27,PB V0.37 R1.2,,SMT,,,,,595-TS3A4751PWR ,,apertus,,,
100,59,1,IP4251CZ16-8-TTL,SON40P135X330X55-17N,U28,PB V0.37 R1.2,,SMT,,,1972684,,NXP,IP4251CZ16-8-TTL,apertus,,passive filter network,
101,60,1,LM75BGD,SOT996-2/3,U29,PB V0.37 R1.2,,SMT,,,,,,,apertus,,Digital temperature sensor and thermal watchdog,
102,61,1,NCP715,DFN150X150X50-6N,U31,PB V0.37 R1.2,,SMT,,,,863-NCP715MX30TBG ,,,apertus,,Spannungsregler,
103,62,1,PICO-SPOX-5,PICO-SPOX-5,X1,PB V0.37 R1.2,,SMT,,,,,,,apertus,,,
104,63,1,Pin Header 2x2,2X2 / 90°,X2,PB V0.37 R1.2,,THT,,,,HTSW-102-10-L/F/G-D-RA,Samtec,,apertus,,90° angle PIN HEADER 2x2,
105,64,2,High Density B2B Connector,100 pin 61083-103402LF,"JX1B, JX2B",PB V0.37 R1.2,BOT,SMT,,,,649-61083-103402LF,,,apertus,,"mating height zu microzed 7mm, package with metal caps for pick and place machine",
106,65,2,High Density B2B Connector,100 pin 61082-101402LF,"JX1T, JX2T",PB V0.37 R1.2,TOP,SMT,,,,649-61082-101402LF,,,apertus,,"mating height zu mainboard 5mm, package with metal caps for pick and place machine",
107,66,4,Pinbuchse 2x4,Pinbuchse 2x4,"PWR-NE, PWR-NE, PWR-SW, PWR-SE",PB V0.37 R1.2,,SMT,,,,Samtec HLE-104-02-L-DV-BE-K-TR,,,apertus,,bertl sieht sich dieses neue bauteil noch an,
108,67,1,Diode,DFN1006D2,D1,PB V0.37 R1.2,,SMT,,,,"771-PMEG2010BELD,315",,,apertus,,,
