BOM combines:					Creation process: pcbom.ulp -> csv with all parameters, open csv, copy paste here, manually rearrange coloumns							Legend:										
axiom_beta_main_board_v0.37 R1.1					axiom_beta_power_board_v0.37 R1.2							light orange lines are THT components										
axiom_beta_interface_dummy_v0.13_r1.2					axiom_beta_sensor_cmv12000_tht_v0.16_r1.4c							Red Text means something needs attention 										
																						
ID	Sub-ID	mehrfach	Qty	Description	Package	Schematic Reference (Silkscreen)	Combined Sch. Reference (*.asc)	PCB	Side	Mount	Tele ID	Digi-Key	Farnell	Mouser	Manufacturer	MPN	Source	Packaging	Stock (11/2020)	Note	Insurance Value (pc)	Datasheet
45	4		6	10n 10V+ +-20%	0402	C11, C12, C76, C79, C82, C90	C11_PB,  C12_PB,  C76_PB,  C79_PB,  C82_PB,  C90_PB	PB V0.37 R1.2		SMT			1828864		Murata 	GRM155R71C103KA01D	apertus	8mm Reel				
46	5		21	4u7 10V+ +-20%	0603	C13, C16, C19, C22, C27, C30, C33, C36, C37, C40, C43, C46, C49, C52, C55, C58, C61, C64, C67, C70, C73	C13_PB,  C16_PB,  C19_PB,  C22_PB,  C27_PB,  C30_PB,  C33_PB,  C36_PB,  C37_PB,  C40_PB,  C43_PB,  C46_PB,  C49_PB,  C52_PB,  C55_PB,  C58_PB,  C61_PB,  C64_PB,  C67_PB,  C70_PB,  C73_PB	PB V0.37 R1.2	TOP	SMT	020651						Tele		Bestand: 19	KERK SMD 4u7 0603 T:X5R +-20% 10V 85°C		
47	6		13	1u +-20% 10V+	0402	C25, C26, C28, C29, C31, C32, C34, C35, C77, C78, C80, C81, C91	C25_PB,  C26_PB,  C28_PB,  C29_PB,  C31_PB,  C32_PB,  C34_PB,  C35_PB,  C77_PB,  C78_PB,  C80_PB,  C81_PB,  C91_PB	PB V0.37 R1.2		SMT	020660						Tele		Bestand: 32 	KERK SMD 1u 0402 T:X6S +-10% 25V 105°C		
48	7		3	10u 10V+	0603	C72, C83, C84	C72_PB,  C83_PB,  C84_PB	PB V0.37 R1.2		SMT	020637						Tele		Bestand: 28	KERK SMD 10u 0603 T:X5R +-10% 25V 85°C		
49	8	X	6	100n 10V+	0402	C85, C86, C87, C88, C89, C92	C85_PB,  C86_PB,  C87_PB,  C88_PB,  C89_PB,  C92_PB	PB V0.37 R1.2		SMT	020614						Tele	8mm Reel		KERK SMD 100n 0402 T:X5R +-10% 16V 85°C,  auch schon auf MB		
50	9	X	1	4u7 10V+ 	0402	C93	C93_PB	PB V0.37 R1.2		SMT						CC0402MRX5R6BB475	Tele		bestellen	auch schon auf SB		
51	10		2	SPX3819M5-L	SOT95P280X145-5N	CNW, CSE	CNW_PB,  CSE_PB	PB V0.37 R1.2		SMT			1831948		EXAR	SPX3819M5-L	apertus	8mm	bestellen	500mA, LOW-NOISE LDO VOLTAGE REGULATOR	€0.60	https://datasheet.octopart.com/SPX3819M5-L-MaxLinear-datasheet-27119699.pdf
52	11		17	MCP1727-ADJE/MF	DFN65P300X300X100-9N	EE, IOE, IOW, MCN, MCS, MXN, MXS, NE, NN, NW, RFE, RFW, SE, SS, SW, VIO, WW	EE_PB,  IOE_PB,  IOW_PB,  MCN_PB,  MCS_PB,  MXN_PB,  MXS_PB,  NE_PB,  NN_PB,  NW_PB,  RFE_PB,  RFW_PB,  SE_PB,  SS_PB,  SW_PB,  VIO_PB,  WW_PB	PB V0.37 R1.2		SMT			1851979		Microchip	MCP1727-ADJE/MF	apertus	12mm Tape	bestellen	IC, 1.5A, ADJ,Low Voltage, Low Quiescent Current LDO Regulator,DFN-8	€0.62	https://datasheet.octopart.com/MCP1727-ADJE/MF-Microchip-datasheet-8331233.pdf
53	12		1	Ferrite Bead	0402	FB1	FB1_PB	PB V0.37 R1.2		SMT				 81-BLM15PD600SN1D 			Tele		Bestellen	alternativ: 50ohm+ 100mhz, 1.5A+, DC R: kleiner 0.1 ohm	€0.03	
54	13		17	Ferrite Bead	0805	L1, L2, L3, L4, L5, L6, L7, L8, L14, L15, L16, L17, L9, L10, L11, L12, L13	L1_PB,  L2_PB,  L3_PB,  L4_PB,  L5_PB,  L6_PB,  L7_PB,  L8_PB,  L14_PB,  L15_PB,  L16_PB,  L17_PB,  L9_PB,  L10_PB,  L11_PB,  L12_PB,  L13_PB	PB V0.37 R1.2		SMT			2292366				Tele		Bestellen	alternativ: 4A+, 75 ohm +  impedanz, 0.01ohm oder kleiner	€0.05	
55	14		1	Ferrite Bead	0603	L18	L18_PB	PB V0.37 R1.2		SMT	010080			alternativ: 81-BLM18SG330SN1D			Tele		Bestand: 0	FERRITE SMD 120 Ohm 0603 1,6x0,8x0,8mm		ferrite bead, könnten auch tele standardteil nehmen ? 2A, 0603,  25+ ohm 100mhz, dac R sollte klein sein: kleiner 0.05 ohm
56	15		2	Stecker	DF12(XX)-20DP-0.5V	PB-NW, PB-SE	PB-NW_PB,  PB-SE_PB	PB V0.37 R1.2		SMT							apertus			ersetzen mit neuen steckern? -> Bertl		
57	16		1	SSM3K56FS,LF	SOT416	Q1	Q1_PB	PB V0.37 R1.2		SMT		SSM3K56FSLFCT-ND					apertus	tape	Bestellen	30 V, single N-channel Trench MOSFET, bertl will check if it works	€0.10	
58	17		5	102k 0.1%	0402	R2, R10, R37, R24, R32, 	R2_PB,  R10_PB,  R37_PB,  R24_PB,  R32_PB,  _PB	PB V0.37 R1.2		SMT						Welchen? -> Bertl	Tele	Reel	Bestellen			
59	18		5	20k 0.1%	0402	R4, R38, R113, R128, R130	R4_PB,  R38_PB,  R113_PB,  R128_PB,  R130_PB	PB V0.37 R1.2		SMT						Welchen? -> Bertl	Tele	Reel	Bestellen		-	
60	19		14	180k 0.1%	0402	R6, R14, R18, R33, R35, R39, R41, R43, R45, R47, R49, R112, R127, R129	R6_PB,  R14_PB,  R18_PB,  R33_PB,  R35_PB,  R39_PB,  R41_PB,  R43_PB,  R45_PB,  R47_PB,  R49_PB,  R112_PB,  R127_PB,  R129_PB	PB V0.37 R1.2	TOP	SMT						Welchen? -> Bertl	Tele	Reel	Bestellen		-	
61	20		11	25k5 0.1%	0402	R8, R16, R20, R34, R36, R40, R42, R44, R46, R48, R50	R8_PB,  R16_PB,  R20_PB,  R34_PB,  R36_PB,  R40_PB,  R42_PB,  R44_PB,  R46_PB,  R48_PB,  R50_PB	PB V0.37 R1.2		SMT						Welchen? -> Bertl	Tele	Reel	Bestellen		-	
62	21		1	28k 0.1%	0402	R12	R12_PB	PB V0.37 R1.2		SMT						Welchen? -> Bertl	Tele	Reel	Bestellen		-	
63	22		2	147k 0.1%	0402	R22, R30	R22_PB,  R30_PB	PB V0.37 R1.2		SMT						Welchen? -> Bertl	Tele	Reel	Bestellen		-	
64	23		1	22k 1%	0402	R84	R84_PB	PB V0.37 R1.2		SMT	015767						Tele	8mm Reel?		WID SMD 22k 0402 +-1% 100mW TK100	-	
